"Reference","Value","Datasheet","Footprint","Qty","DNP","Description"
"C1,C2,C3,C4,C5,C6","3300uF","~","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","6","","Polarized capacitor, small symbol"
"C7,C8,C9,C10,C11,C12","1uF","~","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","6","","Polarized capacitor, small symbol"
"D1,D2,D3,D4,D5,D6,D7,D8","1N4004","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","8","","400V 1A General Purpose Rectifier Diode, DO-41"
"HS1,HS2,HS3","Heatsink","~","Heatsink:Heatsink_Tayda_16.50x16.50","3","","Heatsink"
"J1","JST5","~","Connector_JST:JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical","1","","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","IDC16","~","Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical","1","","Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"R1,R2,R3","2K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3","","Resistor, small symbol"
"R4","150","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","Resistor, small symbol"
"R5,R6","500","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","","Resistor, small symbol"
"U1","L7812CV","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1","","Positive 1.5A 35V Linear Regulator, Fixed Output 12V, TO-220/TO-263/TO-252"
"U2","L7805CV","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1","","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252"
"U3","L7912CV","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1","","Negative 1.5A 35V Linear Regulator, Fixed Output -12V, TO-220/TO-263"
